  OTP_YEAR, OTP_MONTH,       OTP,TOTAL_TRIPS,TOTAL_LATES
2009,1,92.8,34119,2464
2009,2,92.8,31932,2300
2009,3,92.2,34065,2645
2009,4,92.8,35134,2524
2009,5,92.8,32451,2349
2009,6,94.8,34731,1810
2009,7,94.1,34596,2040
2009,8,94.4,33953,1890
2009,9,93,34198,2398
2009,10,94.6,36034,1939
2009,11,94,31922,1900
2009,12,93.6,35554,2293
2010,1,94.8,31860,1658
2010,2,94.2,30838,1788
2010,3,94.2,36856,2123
2010,4,95.5,35416,1602
2010,5,93.1,32724,2265
2010,6,92.9,35452,2505
2010,7,95.7,35807,1529
2010,8,93.7,36008,2275
2010,9,92,34485,2775
2010,10,93.3,34281,2300
2010,11,93.3,30134,2012
2010,12,89.5,32670,3415
2011,1,92.7,35596,2586
2011,2,93.5,35753,2309
2011,3,93.6,40794,2594
2011,4,93.5,36459,2369
2011,5,92,37994,3039
2011,6,91.9,39329,3187
2011,7,92,39012,3115
2011,8,92.7,41159,3013
2011,9,90.7,37957,3514
2011,10,90.9,37985,3462
2011,11,90.2,37856,3702
2011,12,90.5,37988,3627
2012,1,92.5,37581,2801
2012,2,92.1,35699,2837
2012,3,92,39362,3144
2012,4,91.2,37058,3258
2012,5,90.4,39230,3770
2012,6,89.6,37543,3917
2012,7,90.9,38689,3508
2012,8,91.8,40832,3357
2012,9,91.1,34951,3112
2012,10,90,35519,3565
2012,11,85.2,34437,5105
2012,12,90,35244,3539
2013,1,92.7,37104,2700
2013,2,91.8,32869,2691
2013,3,91.5,37198,3158
2013,4,91.1,38789,3446
2013,5,90.9,39054,3554
2013,6,90.1,35879,3543
2013,7,91,39531,3566
2013,8,90.4,39259,3775
2013,9,90,36276,3640
2013,10,90.7,41036,3826
2013,11,92.2,35988,2790
2013,12,89.9,37535,3792
2014,1,90.7,42076,3896
2014,2,89.5,39603,4160
2014,3,90.7,41770,3903
2014,4,91.1,43115,3844
2014,5,91,40982,3698
2014,6,91.3,41740,3620
2014,7,90.6,43556,4080
2014,8,90.8,42273,3871
2014,9,90.1,43270,4272
2014,10,93.7,45337,2847
2014,11,90.7,36477,3402
2014,12,89.8,42929,4393
2015,1,93.2,38551,2617
2015,2,91.3,37691,3267
2015,3,92.5,41411,3120
2015,4,91.1,43848,3920
2015,5,89.8,45909,4699
2015,6,90.1,47542,4685
2015,7,90.3,48651,4723
2015,8,90.9,46004,4189
2015,9,90.8,45651,4181
2015,10,90,47697,4790
2015,11,90,42320,4227
2015,12,89.9,47155,4765
2016,1,91.1,42289,3780
2016,2,91.7,44610,3701
2016,3,92.9,49762,3519
2016,4,92.3,45878,3551
2016,5,91.3,46029,4025
2016,6,91.3,51042,4437
2016,7,90,47281,4745
2016,8,90.8,52941,4871
2016,9,90.1,47855,4744
2016,10,90.9,49678,4545
2016,11,90,47639,4768
2016,12,88.5,49002,5631
2017,1,92.9,49391,3496
2017,2,92.4,45576,3486
2017,3,91,50036,4501
2017,4,91.2,45084,3967
2017,5,89.5,50097,5255
2017,6,88.2,45836,5400
2017,7,90.9,49678,4520
2017,8,91.4,56358,4838
2017,9,90.2,45938,4485
2017,10,89.8,51065,5202
2017,11,90.5,47692,4553
2017,12,86.2,44852,6206
2018,1,90.8,48496,4445
2018,2,93.2,45650,3084
2018,3,92.2,45086,3525
2018,4,91.4,48030,4117
2018,5,89.7,47718,4898
2018,6,89.1,37505,4083
2018,7,88.9,37246,4131
2018,8,90.6,48753,4589
2018,9,90.7,40098,3737
2018,10,91.1,53223,4729
2018,11,90.5,36485,3480
2018,12,89.6,40165,4186
2019,1,93.5,42493,2744
2019,2,93.6,39618,2531
2019,3,92.7,41638,3050
2019,4,93.3,46361,3105
2019,5,90.4,44747,4294
2019,6,91.3,42400,3709
2019,7,93,50111,3531
2019,8,93.7,51429,3246
2019,9,92.5,46638,3478
2019,10,92.5,51861,3889
2019,11,92.1,46997,3717
2019,12,89.4,48665,5175
2020,1,94.4,48364,2709
2020,2,95.3,43138,2029
2020,3,95.9,43930,1811
2020,4,98.8,24623,301
2020,5,99.3,29816,195
2020,6,98.1,42674,808
2020,7,98.1,50624,982
2020,8,97.8,46248,1013
2020,9,97.6,42181,1004
2020,10,98.3,43935,726
2020,11,98.8,40394,487
2020,12,98.3,43270,737
2021,1,98.9,38082,413
2021,2,98,35243,718
2021,3,98.4,47276,741
2021,4,97.3,44526,1216
2021,5,97.2,42687,1183
2021,6,95.9,45210,1857
2021,7,95.9,45636,1885
2021,8,96.1,48111,1881
2021,9,94.5,46180,2553
2021,10,92.3,600,46.04
2021,11,93.7,43894,2784
2021,12,93.2,45244,3064
2022,1,95.5,43994,1974
2022,2,96.6,41945,1443
2022,3,96.3,50648,1875
2022,4,95.4,46455,2153
2022,5,95.3,49270,2311
2022,6,94.1,49088,2912
2022,7,95.7,46901,1996
2022,8,95.1,52454,2573
2022,9,93.7,47633,3021
2022,10,94.1,47274,2802
2022,11,94.6,46974,2529
2022,12,91.1,48894,4332
2023,1,95.4,49349,2257
2023,2,95.4,45894,2116
2023,3,95.2,53076,2527
2023,4,93.4,48307,3190
2023,5,91.4,52679,4547
2023,6,92.1,51879,4093
2023,7,92.8,48595,3480
2023,8,93.3,55376,3735
2023,9,90.5,50080,4758
2023,10,91.3,52427,4541
2023,11,89.5,48678,5115
2023,12,87.7,48013,5906
